epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,763.111,2.93823,7.60037,0.09564,0,0,0,0,0.6678,4.65703,0.03754,0.000504602,0.000504602,0.000504602
51,778.337,3.81675,5.39276,0.08015,0,0,0,0,0.66023,4.62444,0.03719,0.000505,0.000505,0.000505
52,793.279,2.53628,7.07641,0.11911,0,0,0,0,0.66023,4.62444,0.03719,0.000505002,0.000505002,0.000505002
53,808.511,4.34249,5.98971,0.11013,0,0,0,0,0.66023,4.62444,0.03719,0.000504608,0.000504608,0.000504608
54,823.739,3.5836,5.17527,0.07305,0,0,0,0,0.64946,4.58169,0.03668,0.000503818,0.000503818,0.000503818
55,839.163,3.11788,7.30861,0.10739,0,0,0,0,0.64946,4.58169,0.03668,0.000502632,0.000502632,0.000502632
56,853.92,4.46021,6.00026,0.11238,0,0,0,0,0.64946,4.58169,0.03668,0.00050105,0.00050105,0.00050105
57,868.874,4.83132,6.50051,0.12278,0,0,0,0,0.64061,4.53825,0.03628,0.000499072,0.000499072,0.000499072
58,884.239,3.68907,7.85974,0.129,0,0,0,0,0.64061,4.53825,0.03628,0.000496698,0.000496698,0.000496698
59,899.276,1.74449,6.7523,0.08891,0,0,0,0,0.64061,4.53825,0.03628,0.000493928,0.000493928,0.000493928
60,915.088,3.4573,5.07791,0.07298,0,0,0,0,0.63082,4.49216,0.03582,0.000490762,0.000490762,0.000490762
61,931.783,4.67327,7.75075,0.1383,0,0,0,0,0.63082,4.49216,0.03582,0.0004872,0.0004872,0.0004872
62,948.294,1.87405,6.67422,0.08318,0,0,0,0,0.63082,4.49216,0.03582,0.000483242,0.000483242,0.000483242
63,964.94,3.80317,5.42461,0.10486,0,0,0,0,0.6238,4.45177,0.03551,0.000478888,0.000478888,0.000478888
64,980.632,3.0339,6.8163,0.12431,0,0,0,0,0.6238,4.45177,0.03551,0.000474138,0.000474138,0.000474138
65,995.86,3.51119,5.40581,0.09148,0,0,0,0,0.6238,4.45177,0.03551,0.000468992,0.000468992,0.000468992
66,1011.37,2.83598,7.19014,0.1155,0,0,0,0,0.62879,4.41574,0.03579,0.00046345,0.00046345,0.00046345
67,1026.73,4.23409,5.49288,0.10766,0,0,0,0,0.62879,4.41574,0.03579,0.000457512,0.000457512,0.000457512
68,1041.85,2.93466,7.05741,0.11787,0,0,0,0,0.62879,4.41574,0.03579,0.000451178,0.000451178,0.000451178
69,1056.87,3.41086,8.05713,0.10402,0,0,0,0,0.68153,4.40542,0.03833,0.000444448,0.000444448,0.000444448
70,1072.6,1.80475,6.46994,0.094,0,0,0,0,0.68153,4.40542,0.03833,0.000437322,0.000437322,0.000437322
71,1087.77,1.26044,6.22338,0.07034,0,0,0,0,0.68153,4.40542,0.03833,0.0004298,0.0004298,0.0004298
72,1104.28,3.22978,7.75037,0.10352,0,0,0,0,0.89395,4.51119,0.04774,0.000421882,0.000421882,0.000421882
73,1121.71,2.98954,4.54388,0.07249,0,0,0,0,0.89395,4.51119,0.04774,0.000413568,0.000413568,0.000413568
